reference,count
10401_dsdA,0
10402_dsdA,6
10403_dsdA,1
10404_dsdA,3
10405_dsdA,3
10406_dsdA,0
10407_dsdA,0
10408_dsdA,0
10409_dsdA,0
1040_anmK,1
10410_dsdA,0
10411_dsdA,0
10412_dsdA,0
10413_dsdA,0
10414_dsdA,0
10415_dsdA,0
10416_dsdA,0
10417_dsdA,0
10418_dsdA,0
10419_dsdA,0
1041_anmK,0
10420_dsdA,0
10421_dsdA,2
10422_dsdA,2
10423_dsdA,2
10424_dsdA,9
10425_dsdA,3
10426_dsdA,0
10427_dsdA,0
10428_dsdA,0
10429_dsdA,0
1042_anmK,0
10430_dsdA,3
10431_dsdA,0
10432_dsdA,1
10433_dsdA,0
10434_dsdA,0
10435_dsdA,0
10436_dsdA,0
10437_dsdA,0
10438_dsdA,1
10439_dsdA,0
1043_anmK,0
10440_dsdA,0
10441_dsdA,0
10442_dsdA,1
10443_dsdA,1
10444_dsdA,0
10445_dsdA,0
10446_dsdA,2
10447_dsdA,0
10448_dsdA,0
10449_dsdA,0
1044_anmK,0
10450_dsdA,0
10451_dsdA,0
10452_dsdA,1
10453_dsdA,4
10454_dsdA,4
10455_dsdA,2
10456_dsdA,0
10457_dsdA,0
10458_dsdA,0
10459_dsdA,0
1045_anmK,0
10460_dsdA,0
10461_dsdA,0
10462_dsdA,5
10463_dsdA,0
10464_dsdA,0
10465_dsdA,0
10466_dsdA,0
10467_dsdA,0
10468_dsdA,0
10469_dsdA,0
1046_anmK,0
10470_dsdA,0
10471_dsdA,2
10472_dsdA,2
10473_dsdA,0
10474_dsdA,0
10475_dsdA,1
10476_dsdA,1
10477_dsdA,1
10478_dsdA,0
10479_dsdA,1
1047_anmK,0
10480_dsdA,0
10481_dsdA,0
10482_dsdA,0
10483_dsdA,0
10484_dsdA,3
10485_dsdA,0
10486_dsdA,0
10487_dsdA,0
10488_dsdA,0
10489_dsdA,0
1048_anmK,0
10490_dsdA,0
10491_dsdA,0
10492_dsdA,2
10493_dsdA,0
10494_dsdA,4
10495_dsdA,5
10496_dsdA,4
10497_dsdA,0
10498_dsdA,0
10499_dsdA,0
1049_anmK,1
104_aceB,0
10500_dsdA,3
10501_dsdA,4
10502_dsdA,0
10503_dsdA,2
10504_dsdA,0
10505_dsdA,0
10506_dsdA,4
10507_dsdA,0
10508_dsdA,0
10509_dsdA,0
1050_anmK,0
10510_dsdA,0
10511_dsdA,0
10512_dsdA,3
10513_dsdA,0
10514_dsdA,0
10515_dsdA,0
10516_dsdA,0
10517_dsdA,0
10518_dsdA,1
10519_dsdA,0
1051_anmK,0
10520_dsdA,0
10521_dsdA,0
10522_dsdA,0
10523_dsdA,0
10524_dsdA,0
10525_dsdA,8
10526_dsdA,0
10527_dsdA,2
10528_dsdA,3
10529_dsdA,0
1052_anmK,0
10530_dsdA,2
10531_dsdA,0
10532_dsdA,0
10533_dsdA,0
10534_dsdA,0
10535_dsdA,0
10536_dsdA,2
10537_dsdA,0
10538_dsdA,3
10539_dsdA,1
1053_anmK,3
10540_dsdA,2
10541_dsdA,0
10542_dsdA,0
10543_dsdA,0
10544_dsdA,0
10545_dsdA,0
10546_dsdA,7
10547_dsdA,0
10548_dsdA,1
10549_dsdA,0
1054_anmK,0
10550_dsdA,1
10551_dsdA,0
10552_dsdA,0
10553_dsdA,1
10554_dsdA,1
10555_dsdA,0
10556_dsdA,0
10557_dsdA,1
10558_dsdA,0
10559_dsdA,0
1055_anmK,0
10560_dsdA,0
10561_dsdA,0
10562_dsdA,1
10563_dsdA,0
10564_dsdA,0
10565_dsdA,0
10566_dsdA,0
10567_dsdA,1
10568_dsdA,0
10569_dsdA,0
1056_anmK,0
10570_dsdA,0
10571_dsdA,0
10572_dsdA,2
10573_dsdA,0
10574_dsdA,0
10575_dsdA,0
10576_dsdA,7
10577_dsdA,0
10578_dsdA,2
10579_dsdA,0
1057_anmK,0
10580_dsdA,2
10581_dsdA,2
10582_dsdA,0
10583_dsdA,0
10584_dsdA,7
10585_dsdA,1
10586_dsdA,0
10587_dsdA,0
10588_dsdA,0
10589_dsdA,0
1058_anmK,0
10590_dsdA,0
10591_dsdA,0
10592_dsdA,2
10593_dsdA,0
10594_dsdA,0
10595_dsdA,0
10596_dsdA,2
10597_dsdA,0
10598_dsdA,0
10599_dsdA,0
1059_anmK,0
105_aceB,0
10600_dsdA,0
10601_dsdA,0
10602_dsdA,0
10603_dsdA,1
10604_dsdA,0
10605_dsdA,0
10606_dsdA,0
10607_dsdA,0
10608_dsdA,8
10609_dsdA,0
1060_anmK,0
10610_dsdA,0
10611_dsdA,0
10612_dsdA,0
10613_dsdA,0
10614_dsdA,0
10615_dsdA,0
10616_dsdA,0
10617_dsdA,0
10618_dsdA,1
10619_dsdA,1
1061_anmK,0
10620_dsdA,0
10621_dsdA,0
10622_dsdA,0
10623_dsdA,1
10624_dsdA,7
10625_dsdA,3
10626_dsdA,0
10627_dsdA,0
10628_dsdA,2
10629_dsdA,0
1062_anmK,2
10630_dsdA,0
10631_dsdA,0
10632_dsdA,0
10633_dsdA,0
10634_dsdA,0
10635_dsdA,1
10636_dsdA,0
10637_dsdA,0
10638_dsdA,0
10639_dsdA,0
1063_anmK,0
10640_dsdA,0
10641_dsdA,0
10642_dsdA,0
10643_dsdA,0
10644_dsdA,0
10645_dsdA,0
10646_dsdA,1
10647_dsdA,0
10648_dsdA,0
10649_dsdA,0
1064_anmK,0
10650_dsdA,0
10651_dsdA,0
10652_dsdA,0
10653_dsdA,0
10654_dsdA,0
10655_dsdA,0
10656_dsdA,0
10657_dsdA,0
10658_dsdA,0
10659_dsdA,1
1065_anmK,0
10660_dsdA,0
10661_dsdA,19
10662_dsdA,0
10663_dsdA,1
10664_dsdA,0
10665_dsdA,40
10666_dsdA,37
10667_dsdA,16
10668_dsdA,5
10669_dsdA,5
1066_anmK,0
10670_dsdA,4
10671_dsdA,0
10672_dsdA,0
10673_dsdA,0
10674_dsdA,0
10675_dsdA,0
10676_dsdA,0
10677_dsdA,2
10678_dsdA,1
10679_dsdA,0
1067_anmK,0
10680_dsdA,0
10681_dsdA,0
10682_dsdA,0
10683_dsdA,0
10684_dsdA,0
10685_dsdA,0
10686_dsdA,0
10687_dsdA,0
10688_dsdA,0
10689_dsdA,1
1068_anmK,0
10690_dsdA,1
10691_dsdA,0
10692_dsdA,0
10693_dsdA,0
10694_dsdA,0
