reference,Count
19047_gnd,124
9578_dkgB,7
38727_thrB,1
24879_lamB,11
23315_katE,2
8089_cysN,1
36906_sad,8
32790_proB,1
4866_betB,11
4981_betB,198
37155_sodC,1
42138_yejF,4
9310_dgoK,89
4904_betB,141
12254_fadJ,2
36145_rbsC,2
10744_eda,1
42103_yejF,1
41288_wcaJ,2
32079_pheA,59
33484_purD,1
20485_hisB,1
7613_cusC,4
2858_arnB,54
30190_ompN,153
8446_dadX,10
26594_malX,1
7316_cusC,4
19742_gsiD,2
13179_fepB,4
25474_ldtE,2
21274_hisH,134
377_acnA,7
38050_tdcB,104
11436_fabD,1
39151_trpE,1
5246_bisC,17
22463_hyfB,1
26188_lysC,1
22433_hyfB,5
2433_argF,43
2434_argF,34
10378_dsdA,2
17250_gdhA,9
19045_gnd,7
14052_fepD,1
26848_malX,5
30348_oppA,6
23874_kbl,3
25786_lipA,85
12318_fadL,5
12388_fadL,4
2454_argF,71
17556_glcB,38
23889_kbl,2
8905_dcuC,5
16063_galE,2
28542_murI,1
16509_garK,8
26463_malX,3
26619_malX,2
14411_fepG,1
42897_yieH,3
35320_purT,3
31550_pbpC,2
9403_dgoK,10
311_acnA,1
22266_hyfA,10
27001_manA,147
7251_csdA,3
11799_fadB,181
1785_aphA,6
21039_hisD,1
29044_narJ,118
6617_cobT,1
6059_citE,2
27403_metB,4
18155_glnA,16
3191_aroB,1
24347_kdsD,54
38839_trpC,1
39685_tyrA,1
35024_purT,147
16380_galU,1
1702_aphA,7
1309_ansA,1
16196_galE,4
991_ampG,1
6626_cobT,4
7705_cysE,23
36332_rbsC,3
526_acrD,6
4724_avtA,3
27945_mqo,2
4863_betB,230
19649_gsiC,2
26301_maeA,44
34938_purR,37
2496_argF,99
7067_cpsB,3
10757_eda,4
19473_gpr,12
17775_glgB,36
9254_deoD,7
7267_csdA,1
10231_dsdA,5
23631_kbl,6
19845_gudD,25
18775_gltA,58
24129_kdgK,25
16665_garR,1
36600_rutD,1
41366_wecB,1
2382_argE,11
34717_purN,78
23261_katE,24
14438_fepG,4
14167_fepG,6
19656_gsiC,9
17754_glgA,8
24908_ldcA,9
24346_kdsD,58
35253_purT,42
19778_gsiD,42
2438_argF,59
30824_oppC,1
9513_dkgA,130
34181_purH,5
28549_murI,2
24823_kduD,1
42994_zntA,10
35450_purT,1
12504_fecA,1
383_acnA,1
22412_hyfB,3
38709_thrB,2
30365_oppA,2
38686_thrA,3
7545_cusC,9
7601_cusC,102
30788_oppC,1
33011_psuG,225
20330_hisB,4
14033_fepD,1
2492_argF,93
28701_nanA,2
35547_putA,3
6230_citF,4
36225_rbsC,1
32049_pheA,2
33650_purD,1
38415_thiH,4
12996_fecE,1
3552_aroH,1
37187_sodC,2
20240_hisA,35
25510_leuB,62
30304_oppA,86
35884_pyrE,14
24270_kdsC,4
