reference,Count
4285_astC,2
6004_citD,3
6718_cpsB,1
22395_hyfA,2
33448_purD,8
26626_malX,2
37693_tauC,7
22783_hyfF,1
24161_kdgK,3
20610_hisC,1
34576_purL,1
36219_rbsC,4
24760_kduD,1
21125_hisF,3
24200_kdgK,1
20249_hisA,53
15528_gabT,1
1126_ansA,7
24302_kdsC,2
32631_preT,39
9900_dsbC,82
12562_fecC,1
13593_fepD,3
14490_fhuA,2
19910_hchA,2
43057_pbpG,8
4986_betB,1
17891_glgP,5
34734_purN,269
9085_dcuC,4
7274_csdA,5
24879_lamB,7
19880_hchA,53
40182_ugd,3
13602_fepD,1
34890_purN,1
28308_mtgA,7
17844_glgC,5
12328_fadL,1
7720_cysE,9
37305_solA,1
17408_ghrA,1
34636_purL,1
615_alaC,3
2779_arnB,2
36346_rbsC,17
27002_manA,51
21380_hisH,10
28938_napA,1
3710_aroK,3
34466_purK,4
19345_gnd,6
42879_yiaY,13
22604_hyfE,46
25427_ldtE,3
30129_ompG,1
17476_ghrB,3
34775_purN,2
6268_citX,55
28204_mrcB,1
20382_hisB,1
26102_lysA,2
9319_dgoK,1
24650_kduD,1
39148_trpE,21
30141_ompG,14
28904_nanC,1
31866_pflD,1
17700_glcB,2
4034_aspA,1
1352_ansA,1
27776_mhpF,1
23127_ilvC,9
12870_fecC,1
8230_dacD,1
21261_hisH,2
21255_hisH,32
14630_fhuE,3
26563_malX,2
33829_purD,1
40356_ugpQ,2
21040_hisD,1
5940_cirA,3
10670_dsdA,2
28958_napC,1
2479_argF,78
23890_kbl,25
18775_gltA,29
15614_galE,27
6819_cpsB,3
28940_napA,1
34239_purH,3
24177_kdgK,8
2577_arnA,6
14679_fhuE,30
30190_ompN,108
1625_aphA,4
36490_rpiB,1
20247_hisA,30
6583_cobT,1
28160_mqo,1
36854_rutD,2
11799_fadB,81
23428_kbl,2
21672_hisI,1
22176_hycD,2
25975_lpxL,1
27424_metC,28
40860_wcaJ,2
32865_pspE,5
25455_ldtE,83
29545_nrdG,1
40471_wcaJ,2
1396_ansA,41
18155_glnA,3
22026_hmp,1
37766_tauC,7
34213_purH,5
31494_pbpC,7
3971_asnB,9
41335_wcaJ,1
39095_trpE,5
40046_ugd,1
18440_glpK,1
25848_lldD,3
41286_wcaJ,2
22913_iaaA,1
5731_chbG,3
19316_gnd,8
39013_trpD,2
17516_ghrB,1
11962_fadI,4
30897_oppF,1
29473_norW,5
6072_citF,1
6732_cpsB,25
17936_glgX,1
2421_argF,1
30625_oppC,4
19797_gsiD,1
19159_gnd,2
18082_glmM,73
33058_psuG,4
30050_ompF,1
36152_rbsC,5
34694_purN,301
42489_yfdR,8
42405_yfcG,1
33162_psuK,3
4687_atpH,15
39157_trpE,3
27998_mqo,4
10706_dsdA,1
35024_purT,83
22373_hyfA,49
41361_wcaJ,2
34230_purH,4
21120_hisF,1
17263_gdhA,70
15857_galE,2
32314_potC,5
15688_galE,2
11696_fadB,53
4140_astB,1
7497_cusC,1
3801_aroK,1
16391_galU,1
40268_ugd,1
19693_gsiD,2
29867_nuoI,34
33578_purD,35
40218_ugd,1
40099_ugd,1
1108_anmK,1
930_ampG,7
28379_mtn,11
2222_argE,5
4938_betB,153
30962_oppF,4
8167_dacA,3
34888_purN,72
42302_yfcG,5
9036_dcuC,17
9105_dcuC,2
18572_glpQ,1
3833_aroK,1
32630_preT,82
3582_aroH,4
2443_argF,12
28552_murI,1
22163_hycD,143
15546_gadA,1
16605_garK,39
42958_yjjX,36
35730_pyrC,1
2866_arnB,28
30433_oppA,40
13717_fepD,2
638_aldA,1
29596_nrfA,82
14392_fepG,1
30116_ompG,1
27797_mhpF,2
8556_dapE,2
34260_purH,1
4490_astD,1
29904_nuoI,48
32535_preA,3
28169_mrcA,2
20664_hisC,4
22428_hyfB,1
10373_dsdA,1
24564_kdsD,2
23629_kbl,6
2568_arnA,2
8059_cysN,4
2613_arnA,2
24201_kdgK,5
10130_dsdA,8
17624_glcB,2
699_allB,3
4398_astD,1
15643_galE,1
39758_ubiE,147
26473_malX,10
34939_purR,23
18083_glmM,52
18081_glmM,59
15839_galE,1
15222_gabD,2
19527_gsiC,3
8346_dacD,76
35809_pyrE,1
22320_hyfA,1
27345_mepA,1
5262_bisC,2
6947_cpsB,31
6837_cpsB,7
16304_galE,65
6272_citX,1
21459_hisH,4
1883_aphA,1
14811_folK,1
23508_kbl,3
26426_malX,2
26580_malX,3
36160_rbsC,1
11_accD,4
21613_hisI,1
36149_rbsC,7
23080_icd,3
22033_hmp,2
23891_kbl,35
3692_aroK,2
35638_putA,1
31585_pck,1
13329_fepB,1
10166_dsdA,47
34485_purL,14
21648_hisI,1
29811_nuoI,4
8095_cysN,1
16313_galE,3
19727_gsiD,1
40459_wcaJ,4
28388_mtn,27
5093_bioH,7
9204_dcyD,26
9_accD,2
40208_ugd,1
5969_cirA,1
38187_tdcG,6
18184_glnA,2
18050_glmM,70
37091_sodB,9
15423_gabD,1
33178_psuK,34
7878_cysJ,1
43068_pbpG,103
12073_fadJ,1
30966_oppF,2
755_allC,1
20085_hisA,82
27238_menC,7
9691_dkgB,118
7885_cysJ,2
39916_ugd,1
27914_mpaA,1
42889_yiaY,9
2865_arnB,1
31088_oppF,4
38978_trpD,1
27295_mepA,106
26297_maeA,52
41684_wzxE,2
25510_leuB,140
25999_lsrF,1
32122_phnP,3
27775_mhpF,17
25399_ldtD,5
9578_dkgB,8
7531_cusC,1
7532_cusC,2
40341_ugpQ,1
